A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
600369,-,西南证券,西南证券,"Southwest Securities Co.,Ltd.",20010109
600370,-,三房巷,三房巷,"Jiangsu Sanfame Polyester Material Co.,Ltd.",20030306
600371,-,万向德农,万向德农,"Wanxiang Doneed Co.,Ltd",20020916
600372,-,中航电子,中航电子,"China Avionics Systems Co.,Ltd.",20010706
600373,-,中文传媒,中文传媒,"Chinese Universe Publishing and Media Group Co.,Ltd.",20020304
600375,-,汉马科技,汉马科技,"Hanma Technology Group Co.,Ltd.",20030401
600376,-,首开股份,首开股份,"Beijing Capital Development Co.,Ltd.",20010312
600377,-,宁沪高速,宁沪高速,Jiangsu Expressway Company Limited,20010116
600378,-,昊华科技,昊华科技,"Haohua Chemical Science & Technology Corp., Ltd.",20010111
600379,-,宝光股份,宝光股份,"SHAANXI BAOGUANG VACUUM ELECTRIC DEVICE CO., LTD.",20020116
600380,-,健康元,健康元,"Joincare Pharmaceutical Group Industry Co., Ltd.",20010608
600381,-,青海春天,青海春天,"Qinghai Spring Medicinal Resources Technology Co., Ltd",20010508
600382,-,ST广珠,ST广珠,"Guangdong Mingzhu Group Co.,Ltd",20010118
600383,-,金地集团,金地集团,Gemdale Corporation,20010412
600386,-,北巴传媒,北巴传媒,"Beijing Bashi Media Co.,Ltd.",20010216
600387,-,海越能源,海越能源,"HY Energy Group Co.,Ltd",20040218
600388,-,ST龙净,ST龙净,"Fujian Longking Co.,Ltd",20001229
600389,-,江山股份,江山股份,"Nantong Jiangshan Agrochemical&Chemicals Co.,Ltd.",20010110
600390,-,五矿资本,五矿资本,Minmetals Capital Company Limited,20010115
600391,-,航发科技,航发科技,"Aecc Aero Science and Technology Co.,Ltd",20011212
600392,-,盛和资源,盛和资源,"Shenghe Resources Holding Co.,Ltd",20030529
600393,-,粤泰股份,粤泰股份,"Guangzhou Yuetai Group Co.,Ltd.",20010319
600395,-,盘江股份,盘江股份,"Guizhou Panjiang Refined Coal Co.,Ltd.",20010531
600396,-,金山股份,金山股份,"Shenyang Jinshan Energy Co.,Ltd",20010328
600397,-,安源煤业,安源煤业,"Anyuan Coal Industry Group Co., Ltd.",20020702
